Ocean Phenomena,SubClassOf,Planetary Phenomena
Ocean Phenomena,SubClassOf,Ocean
Ocean Tide,SubClassOf,Tide
Ocean Tide,SubClassOf,Coastal Phenomena
Swell,SubClassOf,Coastal Phenomena
Swell,SubClassOf,Gravity Wave
Littoral Drift,SubClassOf,Coastal Phenomena
Littoral Drift,equivalentClass,Longshore Drift
Storm Surge,SubClassOf,Coastal Phenomena
Surf Beat,SubClassOf,Coastal Phenomena
Breaking Wave,SubClassOf,Coastal Phenomena
Attrition,SubClassOf,Coastal Phenomena
Backwash,SubClassOf,Coastal Phenomena
Beach Depletion,SubClassOf,Coastal Phenomena
Coastal Phenomena,SubClassOf,Ocean Phenomena
Coastal Phenomena,SubClassOf,Coastal Region
Breaker,SubClassOf,Breaking Wave
Plunging Breaker,SubClassOf,Breaker
Spilling Breaker,SubClassOf,Breaker
Surging Breaker,SubClassOf,Breaker
Ocean Gyre,SubClassOf,Gyre
Ocean Gyre,SubClassOf,Ocean Phenomena
Mesoscale Eddy,SubClassOf,Eddy
Mesoscale Eddy,equivalentClass,Mode Eddy
Ocean Mixing,SubClassOf,Ocean Phenomena
Ocean Mixing,SubClassOf,Mixing
Cold Core Cell,SubClassOf,Ocean Gyre
Warm Core Cell,SubClassOf,Ocean Gyre
Tsunami,SubClassOf,Seismic Wave
Tsunami,SubClassOf,Ocean Phenomena
Tsunami,equivalentClass,Tidal Wave
Downwelling,SubClassOf,Ocean Circulation
Langmuir Circulation,SubClassOf,Ocean Circulation
Boundary Current,SubClassOf,Ocean Current
Circumpolar Current,SubClassOf,Ocean Current
Eastern Boundary Current,SubClassOf,Boundary Current
Longshore Current,SubClassOf,Ocean Current
Longshore Current,equivalentClass,Littoral Current
Loop Current,SubClassOf,Ocean Current
Ocean Circulation,SubClassOf,Circulation
Ocean Circulation,SubClassOf,Ocean Phenomena
Ocean Conveyor Belt,SubClassOf,Ocean Circulation
Secondary Circulation,SubClassOf,Ocean Circulation
