 Num,dimension0,dimension1,dimension2,dimension3,dimension4,dimension5,dimension6,dimension7,dimension8,dimension9,dimension10,dimension11,dimension12,dimension13,dimension14,dimension15,dimension16,dimension17,dimension18,dimension19,dimension20,dimension21,dimension22,dimension23,dimension24,dimension25,dimension26,dimension27,dimension28,dimension29,dimension30,dimension31,dimension32,dimension33,dimension34,dimension35,dimension36,dimension37,dimension38,dimension39,dimension40,dimension41,dimension42,dimension43,dimension44,dimension45,dimension46,dimension47,dimension48,dimension49
frac,-0.19047411754204494,-0.08896408438920608,0.03045796270476516,0.049118114395319934,-0.0041396015671260914,0.037272013925407806,0.017139672322494044,0.0639070384323693,-0.48519042146880614,-0.01867781182277349,-0.028243810740294136,-0.020000857529864396,-0.007828822022933946,0.05703135656872241,-0.004299074209552422,0.002212181835799156,-0.0019486579219121253,-0.01440746210339977,-0.01700664040209271,-0.005063976272181752,-0.009041833127529599,0.001266504795487868,-0.00347016988587891,-0.006213779187569612,2.3913360936290794E-4,-0.0013690420891903502,-0.002632562480838124,-0.013108257810461226,-0.03621095389543838,-2.896761127316467E-14,0.04753430583987266,-0.05822113757082302,-0.46207716662284454,1.165916432795796,0.5502436507988872,0.019803713335600038,-0.004136564878516435,-0.0039015021374089257,0.014112529618592337,0.0026867487020590017,0.005046425826020565,0.04060793699147658,-9.323301440092249E-16,-0.017826546241917863,0.005139897261329777,6.22034240136951E-4,-0.017829405977392233,-0.0015850815054750003,-0.005189512794641886,-0.005567594754676356
iasi,-0.3827912254639481,-0.28593000081711806,-0.05718213591464587,0.03897070683613645,0.012129173114777157,-0.25728018086968785,0.19513542580304397,-0.04270453991267274,0.19145159457459843,-0.03144527335984374,5.112841899504623E-4,0.02206805772983273,0.8203104861055727,-0.1464564804866627,0.2777834770818699,-0.07012545847972369,0.45997984553938887,0.6196096187479858,-0.590053361851046,1.5262213913374136,0.5466283060244724,0.6074297953774105,-0.9773337014869269,0.20774041360881976,-0.0017822930041244307,-0.08083424424239256,-0.438694083479154,0.0864876981250883,0.09476796668766566,6.92003190257364E-14,-0.08637396635034836,-0.0979252550122986,-0.39395981266597496,0.11265575220648505,-0.6615785220004613,-0.6826375799585607,0.7084952655766122,0.7509659518523544,1.2285839979692397,-0.3163544432859592,-0.30141195649344293,0.21693743788825062,-6.809983515614107E-15,-0.23772345668961115,0.2658557508994435,-0.14698405835671222,0.2524875359434144,-0.008320793837978565,0.053639362976996195,0.37690297593346467
potential temperature,-0.11264067123589971,0.09487392125789991,-0.038745264945598074,-0.25478441203072183,0.02140378146626922,-0.09730289621331939,-0.23140077532911188,-0.4649965228856061,-0.04688068172709874,-0.07633515959848369,-0.11766967903793837,-0.010373991404100865,-0.010474265573227268,0.12433247433011042,-0.005201889199826247,-0.012813618244869346,-0.03174962579004667,0.2836288599082637,0.018516235021518945,-0.05042219508088911,-0.09988228864534844,-0.03614917858657358,0.11773098981368865,0.003536816836613067,-0.005499270334019381,-0.15818428529710502,-0.05918067844067477,-0.10918144562792757,0.20232047078266674,1.520707327700853E-13,-0.36880477354532865,-0.03211584871421765,-0.07912688686114804,0.11912960293774877,-0.26828848744479167,-0.03031584052768381,0.13384917071741795,0.06664162068597333,-0.17647546684618784,0.23343115758469757,-0.34746879878221865,-0.13409881792407305,1.2276586348253544E-15,0.10407908074023343,-0.12954165181948685,0.08329482476468043,-0.12676423410016038,0.20128695528495993,-0.3314225195783717,0.016140651899861937
wind stress,-0.4474584092455349,0.3429020707132305,-0.48637278855096133,-0.6189081395170888,0.09101590465702547,-0.254051317219091,-0.546683627037578,-0.7034162038152714,-0.1543933011279871,0.1582137823397489,0.4302688720923643,0.6242076436820769,-0.005246593819096064,0.11264695688261919,-0.3065916876067261,-0.040374255987051084,-0.25333948386517197,0.09737040513325541,0.26550870751321737,0.42241855375543164,0.10763345026301945,-0.2197525497808006,-0.04912087140344139,-0.08114340108500517,-0.004696220561370165,0.1352448904118188,0.1293004900948437,0.24576964296061707,-0.9075558359501857,-6.568971383950243E-13,0.839179018959482,-0.00337782344531807,0.07625930566423103,-0.472945671007029,0.8453128021800137,0.6899582245481543,-0.7353467684176234,-1.06395850811909,1.6939208362563742,0.017637558456876003,0.4981930781946776,0.26942493666199385,-4.5190953066729835E-15,-0.33660128149358587,0.28149921258137006,-0.2916482822513126,0.09680735553642847,-0.015597511717299175,0.44013246609670026,0.06928907201123836
ocean bottom pressure,-0.9769842935994137,0.7381638668565025,-1.62310353603398,-7.4595905087888355,2.698797605911853,5.299538150948215,6.85134984583995,-0.038138991167477744,-0.12938833756914514,0.6044397457599656,7.280778843118496,-7.871277469265587,0.12821330519571258,-0.2155574565244359,0.5183871255072117,-0.29412335047421334,-0.3611932222451758,1.3013217774002905,-0.16308484156697003,-0.27356005304016606,-0.736202959736719,-0.06551994978555929,0.19165146627412766,-0.01345907023471517,-0.010826719405894891,-0.5685856620729909,-0.37524387627018646,-0.3230988568327003,0.39692687932425486,2.9706698543110965E-13,-0.7181093430839863,-0.11646750428243964,-0.3501412656383064,0.019942678963448188,-0.2790608945419317,0.5425475501091982,-0.4330850628499121,-0.6178735165350695,0.6995445224234476,-0.3491320030723104,0.2171942108213367,-0.22950467485127266,5.698312023726122E-15,-0.018471919719379278,-0.0411273250227713,-0.1474819925689011,0.13441693097964746,0.7939021061456708,-0.6374390760448412,-0.4984124980910707
rain rate,-0.19804017028512588,-0.15043895608725236,-0.017931962982434227,0.008734882063110445,0.0036431595382189295,-0.13148749391371456,0.09355484794294634,-0.017203110901330105,0.10105065703152087,0.015466529997233785,0.013940292401070682,0.02376718690514102,0.3510282721313634,-0.07447520274202535,-0.02020050860091791,0.011980606155762392,-0.0522577266548195,0.020086191927324047,0.08353605549258923,-0.03680452553598209,0.008982930449077532,0.09823021731534251,-0.1969167356231584,-0.5997940259604104,0.0092217036610722,-0.028265564566837587,0.02669259786313847,0.17766378218636578,0.12983992043279177,9.507791132480135E-14,-0.15479144284946209,0.0015195981646969634,0.011926681789512693,0.030079450098625216,-0.0017913101570016902,-0.015485545162011722,0.03720581928117679,0.08786051571054344,0.08512165825855986,-0.10446879649731806,-0.19087281439534035,0.04250237285957712,3.200899926658337E-15,-0.03314488858677794,-0.3201157180285008,0.1015970000260374,0.034219255740583085,0.1096843129857234,-0.08302263835461228,0.2659610805194571
msg3,-0.12458736922778903,0.2772946247748108,-0.7307575388694343,0.40017939783761397,0.04229462217154525,0.067194347381961,0.1187577610923234,-0.07001217662652166,0.011548827986789467,-0.056756677956033785,-0.1292852268123969,-0.08092266368838928,0.014226796209930111,0.11599274167116792,0.7085848724714667,-0.023551119402308664,0.27431244386349873,0.19049743859002735,-0.06988521582141252,-0.335197529158621,-0.2519107977304636,0.017460297808204954,0.6629354026652312,-0.35638132474519685,0.005980696864910976,0.09989633690789805,0.024334636966172482,0.09475869982497911,-0.21050732556383536,-1.518256219098581E-13,0.2423792326732118,0.009948158318161237,0.021063376376873538,-0.09979759382533959,0.18429142040036725,0.2624210220032727,-0.27850872387145353,-0.13029265408063556,-0.3069993006211431,-0.3198546882745,-0.49869576240790664,0.08509147085951956,4.039755614213056E-15,-0.21178920851589667,-0.23381380023291573,0.2218475749592951,-0.803996178809339,-0.17629080132214645,0.2076407284374717,0.2990514310280639
oceansat ii,-0.4991422914455965,0.4000509862545301,-0.3421648156003119,-1.1852107363278064,0.10041095825560295,-0.4386147342075445,-0.9613758694789094,-1.4396703759150187,-0.2188529104325277,-0.09462395893941485,-0.02067311584876225,0.23424492378720402,0.031769914461501104,0.37836379386776503,-0.41698542972935576,-0.23095420540994566,0.8185734597547809,-0.4367395656817012,-1.0306425311737777,-0.16304657534092196,-0.9318955027493926,-0.008427452305566093,0.14332573036060384,-0.27804973250854215,0.05591847188901809,-0.16351517410145705,-0.1900309431462537,-0.7059765019674362,1.4420274477755337,1.007372385957316E-12,-0.21994725319222824,0.023381918053857195,-0.406421591414811,0.25519736026539647,-0.6928692376781334,-0.0532515354013323,-0.10545298958267718,0.5058252799407263,-1.0502509426807343,-1.303712795958705,1.2384473362435442,-0.18710699884499085,1.1769469137934186E-14,0.25805615539519067,-0.1173103023568556,-0.24067417698202898,0.9416629898224809,-1.798013063627559,1.111070370713867,0.24454183893208234
oxygen,-0.22989398133222724,0.31024079433348933,-0.7157060186037286,0.04251960209333872,0.05765561193375157,-0.031519958567549605,-0.06948167407596173,0.04047692551782121,-0.02421501145150276,0.23197204733800775,0.33117181006792773,0.33517695306895195,-0.011513350630710352,0.18243287966576976,0.3313533352871485,0.08504214738035433,-0.13628532513994435,-0.6931730693969472,0.5419263663918502,-0.16588242700521175,0.16813820986782144,-0.10877761912387131,-0.7247127797718879,0.3581413224209858,-0.005396290505468172,-0.0862382496461325,0.20495265445881125,-0.035087393543548104,0.0725355055909176,5.073445656911054E-14,0.048881281437592086,0.13165100355984216,0.5295921969787419,0.4794674632122899,-0.5761972333676731,0.07903855682458959,-0.01718999434751857,-0.04415056776166749,0.24767390694083055,-0.0789898137542284,0.14061491467375897,0.07096533656830493,4.020820681547142E-16,0.24836724232088442,-0.21229020812105745,-0.05158125383601261,0.12523497104215986,-0.19685077602773532,-0.06882555849301734,-0.03268465893047522
icm csic barcelona,-0.13693432913047027,0.12019630656242039,-0.06775437731302104,-0.3336412413269669,0.028667183497021447,-0.1308520959024476,-0.2909589633267551,-0.5484046774986862,-0.07959680810048006,-0.07107415685227624,-0.08648732779492241,0.042135923719337776,-0.0076836343040254,0.10195773528254694,-0.06675047632231615,-0.0494417688915816,0.07386430215523157,0.33038461645644435,-0.005799774389267742,-0.13892188167316694,-0.09348133306034882,0.022008156976444263,0.05560438683481486,2.793059696554912E-4,-0.004111945095545942,-0.06464105898608914,-0.060090899983163644,-0.15153603946965483,0.14666718691608993,1.0957646314100464E-13,-0.251842671013151,-0.018868803022435512,-0.04587167009782394,0.05984847540794744,-0.13366108646539582,-0.012070824094986768,-0.017332204494434292,0.15323463015258423,-0.18696753164250215,-0.3233982087384179,0.22398280373518023,0.01947794391219358,5.004681698242755E-16,-0.005874650842564893,0.006731002983710272,-0.015470641297084118,-0.005058213754899803,0.03678370111053398,-0.013827192852361695,-0.006475102482488869
